Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
navigateToUrl(URL),Firefox 127.0,,,05-07-2024 13:52:13,05-07-2024 13:52:14,0.457s,PASSED
ActualURL = getUrl(),Firefox 127.0,,,05-07-2024 13:52:14,05-07-2024 13:52:14,0.009s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 127.0,,,05-07-2024 13:52:14,05-07-2024 13:52:14,0.000s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 127.0,,,05-07-2024 13:52:14,05-07-2024 13:52:14,0.003s,PASSED
"println(""The website is accessible"")",Firefox 127.0,,,05-07-2024 13:52:14,05-07-2024 13:52:14,0.001s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 127.0,,,05-07-2024 13:52:14,05-07-2024 13:52:16,2.409s,PASSED
ActualRegisterUrl = getUrl(),Firefox 127.0,,,05-07-2024 13:52:16,05-07-2024 13:52:16,0.012s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 127.0,,,05-07-2024 13:52:16,05-07-2024 13:52:16,0.001s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 127.0,,,05-07-2024 13:52:16,05-07-2024 13:52:16,0.002s,PASSED
"println(""The url is correct"")",Firefox 127.0,,,05-07-2024 13:52:16,05-07-2024 13:52:16,0.000s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 127.0,,,05-07-2024 13:52:16,05-07-2024 13:52:17,0.432s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 127.0,,,05-07-2024 13:52:17,05-07-2024 13:52:17,0.000s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 127.0,,,05-07-2024 13:52:17,05-07-2024 13:52:17,0.002s,PASSED
"println(""The title is Register"")",Firefox 127.0,,,05-07-2024 13:52:17,05-07-2024 13:52:17,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_name""), fullname)",Firefox 127.0,,,05-07-2024 13:52:17,05-07-2024 13:52:17,0.462s,PASSED
"println(""The fullname should be filled"")",Firefox 127.0,,,05-07-2024 13:52:17,05-07-2024 13:52:17,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 127.0,,,05-07-2024 13:52:17,05-07-2024 13:52:18,0.463s,PASSED
"println(""The email should be filled"")",Firefox 127.0,,,05-07-2024 13:52:18,05-07-2024 13:52:18,0.000s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password_confirmation""), confirmpassword)",Firefox 127.0,,,05-07-2024 13:52:18,05-07-2024 13:52:18,0.242s,PASSED
