Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"println(""The title is Register"")",Firefox 122.0,,,05-07-2024 21:24:48,05-07-2024 21:24:48,0.002s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_name""), fullname)",Firefox 122.0,,,05-07-2024 21:24:48,05-07-2024 21:24:49,0.522s,PASSED
"println(""The fullname should be filled"")",Firefox 122.0,,,05-07-2024 21:24:49,05-07-2024 21:24:49,0.002s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 122.0,,,05-07-2024 21:24:49,05-07-2024 21:24:49,0.553s,PASSED
"println(""The email should be filled"")",Firefox 122.0,,,05-07-2024 21:24:49,05-07-2024 21:24:49,0.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password""), password)",Firefox 122.0,,,05-07-2024 21:24:49,05-07-2024 21:24:49,0.270s,PASSED
"println(""The password should be filled"")",Firefox 122.0,,,05-07-2024 21:24:49,05-07-2024 21:24:49,0.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password_confirmation""), confirmpassword)",Firefox 122.0,,,05-07-2024 21:24:49,05-07-2024 21:24:50,0.296s,PASSED
"println(""The confirm password should be filled"")",Firefox 122.0,,,05-07-2024 21:24:50,05-07-2024 21:24:50,0.001s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 122.0,,,05-07-2024 21:24:50,05-07-2024 21:24:51,1.060s,PASSED
"println(""The login button should be clickable"")",Firefox 122.0,,,05-07-2024 21:24:51,05-07-2024 21:24:51,0.001s,PASSED
"ActualErrorConfirmPass = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_The password field confirmation does_0e0384""))",Firefox 122.0,,,05-07-2024 21:24:51,05-07-2024 21:24:51,0.511s,PASSED
"ExpectedErrorConfirmPass = ""The password field confirmation does not match.""",Firefox 122.0,,,05-07-2024 21:24:51,05-07-2024 21:24:51,0.002s,PASSED
"verifyMatch(ActualErrorConfirmPass, ExpectedErrorConfirmPass, false)",Firefox 122.0,,,05-07-2024 21:24:51,05-07-2024 21:24:51,0.005s,PASSED
"takeScreenshot(""C:\Taskbuddy\InvalidConfirmPassword.png"")",Firefox 122.0,,,05-07-2024 21:24:51,05-07-2024 21:24:52,0.587s,PASSED
